fiscal_year,category,sub_category,value,unit,note,year
2004-05,GDP at Current Prices,GDP at Current Prices,2971464.0,value in Crore Rupees,,2004
2004-05,Total Expenditure on Education by Education Department,States,68170.0,value in Crore Rupees,,2004
2004-05,Total Expenditure on Education by Education Department,Centre,13111.0,value in Crore Rupees,,2004
2004-05,Total Expenditure on Education by Education Department,States and Centre,81281.0,value in Crore Rupees,,2004
2004-05,Total Expenditure on Education by Education Department,States as % of GDP,2.29,value in percentage,,2004
2004-05,Total Expenditure on Education by Education Department,Centre as % of GDP,0.44,value in percentage,,2004
2004-05,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.74,value in percentage,,2004
2004-05,Total Expenditure on Education by Education and Other Departments,States,78668.0,value in Crore Rupees,,2004
2004-05,Total Expenditure on Education by Education and Other Departments,Centre,18026.0,value in Crore Rupees,,2004
2004-05,Total Expenditure on Education by Education and Other Departments,States and Centre,96694.0,value in Crore Rupees,,2004
2004-05,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.65,value in percentage,,2004
2004-05,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.61,value in percentage,,2004
2004-05,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.26,value in percentage,,2004
2003-04,GDP at Current Prices,GDP at Current Prices,2622216.0,value in Crore Rupees,,2003
2003-04,Total Expenditure on Education by Education Department,States,62867.0,value in Crore Rupees,,2003
2003-04,Total Expenditure on Education by Education Department,Centre,10177.0,value in Crore Rupees,,2003
2003-04,Total Expenditure on Education by Education Department,States and Centre,73045.0,value in Crore Rupees,,2003
2003-04,Total Expenditure on Education by Education Department,States as % of GDP,2.4,value in percentage,,2003
2003-04,Total Expenditure on Education by Education Department,Centre as % of GDP,0.39,value in percentage,,2003
2003-04,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.79,value in percentage,,2003
2003-04,Total Expenditure on Education by Education and Other Departments,States,71978.0,value in Crore Rupees,,2003
2003-04,Total Expenditure on Education by Education and Other Departments,Centre,17101.0,value in Crore Rupees,,2003
2003-04,Total Expenditure on Education by Education and Other Departments,States and Centre,89079.0,value in Crore Rupees,,2003
2003-04,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.74,value in percentage,,2003
2003-04,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.65,value in percentage,,2003
2003-04,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.4,value in percentage,,2003
2002-03,GDP at Current Prices,GDP at Current Prices,2338200.0,value in Crore Rupees,,2002
2002-03,Total Expenditure on Education by Education Department,States,59472.0,value in Crore Rupees,,2002
2002-03,Total Expenditure on Education by Education Department,Centre,9089.0,value in Crore Rupees,,2002
2002-03,Total Expenditure on Education by Education Department,States and Centre,68562.0,value in Crore Rupees,,2002
2002-03,Total Expenditure on Education by Education Department,States as % of GDP,2.54,value in percentage,,2002
2002-03,Total Expenditure on Education by Education Department,Centre as % of GDP,0.39,value in percentage,,2002
2002-03,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.93,value in percentage,,2002
2002-03,Total Expenditure on Education by Education and Other Departments,States,69351.0,value in Crore Rupees,,2002
2002-03,Total Expenditure on Education by Education and Other Departments,Centre,16157.0,value in Crore Rupees,,2002
2002-03,Total Expenditure on Education by Education and Other Departments,States and Centre,85507.0,value in Crore Rupees,,2002
2002-03,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.97,value in percentage,,2002
2002-03,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.69,value in percentage,,2002
2002-03,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.66,value in percentage,,2002
2001-02,GDP at Current Prices,GDP at Current Prices,2167745.0,value in Crore Rupees,,2001
2001-02,Total Expenditure on Education by Education Department,States,56811.0,value in Crore Rupees,,2001
2001-02,Total Expenditure on Education by Education Department,Centre,8037.0,value in Crore Rupees,,2001
2001-02,Total Expenditure on Education by Education Department,States and Centre,64848.0,value in Crore Rupees,,2001
2001-02,Total Expenditure on Education by Education Department,States as % of GDP,2.62,value in percentage,,2001
2001-02,Total Expenditure on Education by Education Department,Centre as % of GDP,0.37,value in percentage,,2001
2001-02,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.99,value in percentage,,2001
2001-02,Total Expenditure on Education by Education and Other Departments,States,65746.0,value in Crore Rupees,,2001
2001-02,Total Expenditure on Education by Education and Other Departments,Centre,14120.0,value in Crore Rupees,,2001
2001-02,Total Expenditure on Education by Education and Other Departments,States and Centre,79866.0,value in Crore Rupees,,2001
2001-02,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3.03,value in percentage,,2001
2001-02,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.65,value in percentage,,2001
2001-02,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.68,value in percentage,,2001
2000-01,GDP at Current Prices,GDP at Current Prices,1991982.0,value in Crore Rupees,,2000
2000-01,Total Expenditure on Education by Education Department,States,54573.0,value in Crore Rupees,,2000
2000-01,Total Expenditure on Education by Education Department,Centre,7925.0,value in Crore Rupees,,2000
2000-01,Total Expenditure on Education by Education Department,States and Centre,62498.0,value in Crore Rupees,,2000
2000-01,Total Expenditure on Education by Education Department,States as % of GDP,2.74,value in percentage,,2000
2000-01,Total Expenditure on Education by Education Department,Centre as % of GDP,0.4,value in percentage,,2000
2000-01,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,3.14,value in percentage,,2000
2000-01,Total Expenditure on Education by Education and Other Departments,States,72291.0,value in Crore Rupees,,2000
2000-01,Total Expenditure on Education by Education and Other Departments,Centre,10196.0,value in Crore Rupees,,2000
2000-01,Total Expenditure on Education by Education and Other Departments,States and Centre,82486.0,value in Crore Rupees,,2000
2000-01,Total Expenditure on Education by Education and Other Departments,States as % of GDP,3.63,value in percentage,,2000
2000-01,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.51,value in percentage,,2000
2000-01,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,4.14,value in percentage,,2000
