fiscal_year,category,sub_category,value,unit,note
2008-09,Total Expenditure on Education by Education and Other Departments,Centre,47978,value in Crore Rupees,
2008-09,Total Expenditure on Education by Education and Other Departments,States and Centre,189069,value in Crore Rupees,
2008-09,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.66,value in percentage,
2008-09,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.9,value in percentage,
2008-09,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.56,value in percentage,
2007-08,GDP at Current Prices,GDP at Current Prices,4582086,value in Crore Rupees,
2007-08,Total Expenditure on Education by Education Department,States,98610,value in Crore Rupees,
2007-08,Total Expenditure on Education by Education Department,Centre,26770,value in Crore Rupees,
2007-08,Total Expenditure on Education by Education Department,States and Centre,125380,value in Crore Rupees,
2007-08,Total Expenditure on Education by Education Department,States as % of GDP,2.15,value in percentage,
2007-08,Total Expenditure on Education by Education Department,Centre as % of GDP,0.58,value in percentage,
2007-08,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.74,value in percentage,
2007-08,Total Expenditure on Education by Education and Other Departments,States,115878,value in Crore Rupees,
2007-08,Total Expenditure on Education by Education and Other Departments,Centre,39919,value in Crore Rupees,
2007-08,Total Expenditure on Education by Education and Other Departments,States and Centre,155797,value in Crore Rupees,
2007-08,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.53,value in percentage,
2007-08,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.87,value in percentage,
2007-08,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.4,value in percentage,
2006-07,GDP at Current Prices,GDP at Current Prices,3953276,value in Crore Rupees,
2006-07,Total Expenditure on Education by Education Department,States,86467,value in Crore Rupees,
2006-07,Total Expenditure on Education by Education Department,Centre,23873,value in Crore Rupees,
2006-07,Total Expenditure on Education by Education Department,States and Centre,110340,value in Crore Rupees,
2006-07,Total Expenditure on Education by Education Department,States as % of GDP,2.19,value in percentage,
2006-07,Total Expenditure on Education by Education Department,Centre as % of GDP,0.6,value in percentage,
2006-07,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.79,value in percentage,
2006-07,Total Expenditure on Education by Education and Other Departments,States,103147,value in Crore Rupees,
2006-07,Total Expenditure on Education by Education and Other Departments,Centre,34237,value in Crore Rupees,
2006-07,Total Expenditure on Education by Education and Other Departments,States and Centre,137384,value in Crore Rupees,
2006-07,Total Expenditure on Education by Education and Other Departments,States as % of GDP,2.61,value in percentage,
2006-07,Total Expenditure on Education by Education and Other Departments,Centre as % of GDP,0.87,value in percentage,
2006-07,Total Expenditure on Education by Education and Other Departments,Total State and Centre as % of GDP,3.48,value in percentage,
2005-06,GDP at Current Prices,GDP at Current Prices,3390503,value in Crore Rupees,
2005-06,Total Expenditure on Education by Education Department,States,76661,value in Crore Rupees,
2005-06,Total Expenditure on Education by Education Department,Centre,17823,value in Crore Rupees,
2005-06,Total Expenditure on Education by Education Department,States and Centre,94484,value in Crore Rupees,
2005-06,Total Expenditure on Education by Education Department,States as % of GDP,2.26,value in percentage,
2005-06,Total Expenditure on Education by Education Department,Centre as % of GDP,0.53,value in percentage,
2005-06,Total Expenditure on Education by Education Department,Total State and Centre as % of GDP,2.79,value in percentage,
2005-06,Total Expenditure on Education by Education and Other Departments,States,90019,value in Crore Rupees,
2005-06,Total Expenditure on Education by Education and Other Departments,Centre,23210,value in Crore Rupees,
